State,Place_Name,Weather,Crowd_Level,Best_Time_To_Visit,Famous_For,Tourism_Type,Budget_Level
Uttar Pradesh,Agra,Pleasant,High,Oct-Mar,Taj Mahal,Historical,Low
Uttar Pradesh,Varanasi,Pleasant,High,Oct-Mar,Ganga Aarti,Religious,Low
Rajasthan,Jaipur,Pleasant,High,Oct-Mar,Pink City,Historical,Medium
Rajasthan,Udaipur,Pleasant,Moderate,Oct-Mar,City of Lakes,Historical,Medium
Goa,Baga Beach,Warm,High,Nov-Feb,Nightlife,Beach,High
Goa,Calangute,Warm,High,Nov-Feb,Beaches,Beach,High
Himachal Pradesh,Manali,Cold,High,Dec-Feb,Snow & Adventure,Hill Station,Medium
Himachal Pradesh,Shimla,Pleasant,High,Mar-Jun,Colonial Town,Hill Station,Medium
Kerala,Munnar,Pleasant,Moderate,Sep-Mar,Tea Gardens,Hill Station,Medium
Kerala,Alleppey,Pleasant,Moderate,Sep-Mar,Backwaters,Nature,Medium
Maharashtra,Mumbai,Pleasant,High,Nov-Feb,Gateway of India,City,High
Maharashtra,Ajanta Caves,Pleasant,Moderate,Oct-Mar,Buddhist Caves,Historical,Low
Karnataka,Mysore,Pleasant,High,Oct-Mar,Mysore Palace,Historical,Low
Karnataka,Hampi,Pleasant,Moderate,Oct-Feb,UNESCO Ruins,Historical,Low
Tamil Nadu,Ooty,Pleasant,High,Mar-Jun,Nilgiri Hills,Hill Station,Medium
Tamil Nadu,Madurai,Pleasant,High,Oct-Mar,Meenakshi Temple,Religious,Low
West Bengal,Darjeeling,Pleasant,High,Mar-May,Tea Gardens,Hill Station,Medium
West Bengal,Sundarbans,Pleasant,Low,Nov-Feb,Mangrove Forest,Wildlife,Medium
Uttarakhand,Nainital,Pleasant,High,Mar-Jun,Lake Town,Hill Station,Medium
Uttarakhand,Rishikesh,Pleasant,Moderate,Oct-Apr,Yoga Capital,Spiritual,Low
Punjab,Amritsar,Pleasant,High,Oct-Mar,Golden Temple,Religious,Low
Gujarat,Statue of Unity,Pleasant,High,Oct-Mar,World's Tallest Statue,Historical,Medium
Odisha,Puri,Pleasant,High,Oct-Mar,Jagannath Temple,Religious,Low
Bihar,Bodh Gaya,Pleasant,High,Oct-Mar,Mahabodhi Temple,Religious,Low
Assam,Kaziranga,Pleasant,Moderate,Nov-Apr,One-horned Rhino,Wildlife,Medium
Meghalaya,Shillong,Pleasant,Moderate,Oct-May,Scotland of East,Hill Station,Medium
Sikkim,Gangtok,Pleasant,Moderate,Mar-Jun,Capital City,Hill Station,Medium
Telangana,Hyderabad,Pleasant,High,Oct-Feb,Charminar,City,Medium
